O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
51-9192.00	2.C.4.e	Psychology	IM	2.72	18	0.6410	1.3674	4.0720	N	n/a	07/2017	Incumbent
51-9192.00	2.C.4.e	Psychology	LV	3.11	17	1.1172	0.7416	5.4782	N	N	07/2017	Incumbent
51-9192.00	2.C.4.f	Sociology and Anthropology	IM	1.38	17	0.2127	1.0000	1.8348	N	n/a	07/2017	Incumbent
51-9192.00	2.C.4.f	Sociology and Anthropology	LV	0.59	17	0.3032	0.0000	1.2346	Y	N	07/2017	Incumbent
51-9192.00	2.C.4.g	Geography	IM	1.28	17	0.1719	1.0000	1.6488	N	n/a	07/2017	Incumbent
51-9192.00	2.C.4.g	Geography	LV	0.62	17	0.4090	0.0000	1.4829	Y	Y	07/2017	Incumbent
51-9192.00	2.C.5.a	Medicine and Dentistry	IM	1.33	18	0.2056	1.0000	1.7613	N	n/a	07/2017	Incumbent
51-9192.00	2.C.5.a	Medicine and Dentistry	LV	0.75	18	0.4421	0.0000	1.6816	Y	N	07/2017	Incumbent
51-9192.00	2.C.5.b	Therapy and Counseling	IM	1.21	18	0.1357	1.0000	1.4937	N	n/a	07/2017	Incumbent
51-9192.00	2.C.5.b	Therapy and Counseling	LV	0.40	18	0.2448	0.0000	0.9157	Y	Y	07/2017	Incumbent
51-9192.00	2.C.6	Education and Training	IM	2.48	18	0.4082	1.6182	3.3405	N	n/a	07/2017	Incumbent
51-9192.00	2.C.6	Education and Training	LV	2.25	18	0.6177	0.9497	3.5562	N	N	07/2017	Incumbent
51-9192.00	2.C.7.a	English Language	IM	3.01	18	0.4948	1.9654	4.0534	N	n/a	07/2017	Incumbent
51-9192.00	2.C.7.a	English Language	LV	2.61	18	0.6382	1.2666	3.9597	N	N	07/2017	Incumbent
51-9192.00	2.C.7.b	Foreign Language	IM	1.49	17	0.1998	1.0667	1.9138	N	n/a	07/2017	Incumbent
51-9192.00	2.C.7.b	Foreign Language	LV	0.75	17	0.3012	0.1098	1.3867	N	N	07/2017	Incumbent
51-9192.00	2.C.7.c	Fine Arts	IM	1.05	17	0.0420	1.0000	1.1428	N	n/a	07/2017	Incumbent
51-9192.00	2.C.7.c	Fine Arts	LV	0.09	17	0.0786	0.0000	0.2522	Y	Y	07/2017	Incumbent
51-9192.00	2.C.7.d	History and Archeology	IM	1.13	17	0.0727	1.0000	1.2872	N	n/a	07/2017	Incumbent
51-9192.00	2.C.7.d	History and Archeology	LV	0.20	17	0.1173	0.0000	0.4497	Y	Y	07/2017	Incumbent
